Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
B1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
B2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B7	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
B8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
B14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B20	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B24	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B25	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B27	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B30	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B41	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B42	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
B47	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B54	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0
B55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B56	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
B61	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
B62	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B63	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
B64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B66	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B67	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B70	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B72	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
B77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B78	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
B79	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B81	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B82	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B90	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B92	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
B97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
